Case #,0
1,46
2,7
3,12
4,9
5,21
6,4
7,9
8,12
9,15
10,6
11,9
12,10
13,8
14,6
15,4
16,8
17,16
18,5
19,24
20,8
21,4
22,10
23,11
24,5
25,8
26,6
27,9
28,7
29,40
30,6
31,6
32,20
33,20
34,11
35,9
36,6
37,35
38,21
39,17
40,4
41,45
42,6
43,4
44,10
45,4
46,14
47,4
48,7
49,14
50,11
51,6
52,9
53,25
54,5
55,27
56,6
57,5
58,4
59,8
60,6
61,8
62,8
63,7
64,4
65,7
66,4
67,15
68,15
69,29
70,8
71,36
72,36
73,5
74,25
75,14
76,7
77,8
78,6
79,6
80,7
81,4
82,8
83,7
84,7
85,9
86,5
87,14
88,6
89,4
90,7
91,8
92,6
93,7
94,11
95,16
96,4
97,7
98,8
99,6
100,10
101,9
102,58
103,13
104,9
105,7
106,26
107,4
108,6
109,10
110,11
111,17
112,4
113,45
114,4
115,6
116,7
117,10
118,8
119,5
120,19
121,8
122,11
123,9
124,10
125,6
126,82
127,9
128,8
129,28
130,6
131,4
132,8
133,6
134,20
135,6
136,20
137,7
138,10
139,7
140,17
141,6
142,38
143,38
144,8
147,102
148,16
149,5
150,48
151,4
152,4
153,5
154,927
155,45
156,23
157,5
158,34
159,4
160,8
161,23
162,8
163,5
164,17
165,33
166,5
167,12
168,16
169,49
170,36
171,30
172,7
173,7
174,5
175,7
176,8
177,9
178,11
179,5
180,15
181,10
182,11
183,7
184,13
185,38
186,4
187,53
188,7
189,24
190,12
